#"+ESI Scan (3.023-10.501 min, 452 Scans) Frag=175.0V sk_bpc_157_95FA_95degrees_3h_241101_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,68.0301,212.289993286133
1,73.0840,121.553977966309
2,76.0260,200.659622192383
3,80.0556,163.954071044922
4,82.0373,282.531463623047
5,84.0186,132.042663574219
6,85.0828,101.932113647461
7,94.0571,182.726867675781
8,94.0777,197.791351318359
9,96.0515,1058.74877929688
10,96.9556,237.017044067383
11,97.0568,117.275886535645
12,98.0341,524.129516601563
13,98.0704,244.769470214844
14,100.0451,526.019165039063
15,101.1141,15612.2587890625
16,101.2073,383.939300537109
17,102.0288,107.727638244629
18,102.1172,1169.18981933594
19,104.0394,188.9638671875
20,104.0612,185.713394165039
21,106.0672,303.411407470703
22,107.0623,111.704475402832
23,108.0579,1389.69738769531
24,109.0595,151.682983398438
25,110.0372,1597.28088378906
26,110.0724,1017.81665039063
27,111.0477,204.020736694336
28,112.0501,531.082092285156
29,112.9502,198.579116821289
30,113.0729,165.72917175293
31,114.0608,1034.81286621094
32,114.9482,347.008819580078
33,115.0682,135.707168579102
34,115.9606,128.768783569336
35,117.0780,411.950164794922
36,117.1136,220.49040222168
37,118.0707,262.382293701172
38,120.0819,672.333923339844
39,121.0810,676.145812988281
40,122.0667,3424.89868164063
41,123.0710,626.456787109375
42,124.0539,671.00244140625
43,124.0864,401.462738037109
44,125.0630,102.384918212891
45,126.0606,703.798767089844
46,128.0421,806.999694824219
47,129.1440,503.808380126953
48,130.0555,365.247833251953
49,132.0677,156.113327026367
50,134.0603,261.749420166016
51,134.1059,165.599426269531
52,136.0795,761.026428222656
53,137.0774,262.455322265625
54,138.0378,789.632690429688
55,138.0715,893.335876464844
56,138.1021,540.071105957031
57,139.0667,105.13939666748
58,140.0740,645.553100585938
59,142.0612,165.431182861328
60,144.0622,114.660339355469
61,145.0610,125.908935546875
62,146.0540,535.777709960938
63,148.0194,1178.34741210938
64,148.0871,321.993835449219
65,149.0347,162.83073425293
66,149.1023,196.932723999023
67,150.0769,420.185119628906
68,152.0745,593.735900878906
69,154.0693,529.130554199219
70,154.0978,489.489837646484
71,156.0408,342.088134765625
72,156.0802,232.959045410156
73,158.0855,120.554100036621
74,160.0865,143.80078125
75,162.0891,247.262329101563
76,164.0761,622.209533691406
77,165.0809,113.340148925781
78,166.0925,793.5166015625
79,167.0933,106.37126159668
80,168.0707,2751.12719726563
81,169.0767,338.757873535156
82,170.0824,279.446960449219
83,172.0749,169.945037841797
84,173.1284,139.548095703125
85,174.0480,454.372406005859
86,174.1027,175.184524536133
87,176.0857,233.681381225586
88,176.1172,194.995910644531
89,178.0932,511.317199707031
90,179.0891,102.052032470703
91,180.0917,444.412292480469
92,182.0853,762.7275390625
93,183.0899,108.606475830078
94,184.0870,372.073181152344
95,185.0962,130.378616333008
96,185.2044,297.160797119141
97,186.0835,172.929733276367
98,188.0905,179.659790039063
99,190.0943,181.142181396484
100,191.1345,133.327239990234
101,192.0971,327.850677490234
102,193.1014,166.484771728516
103,194.1006,442.481567382813
104,196.0974,245.773696899414
105,198.0842,234.685897827148
106,200.0880,188.783203125
107,201.0943,235.461715698242
108,202.0418,755.427001953125
109,204.0679,238.059921264648
110,204.1132,197.223541259766
111,206.1016,173.207397460938
112,208.0982,336.966491699219
113,210.1014,326.159606933594
114,212.0919,228.219879150391
115,214.0993,170.812469482422
116,215.1030,125.456504821777
117,216.0840,295.70849609375
118,218.1113,167.727890014648
119,219.1364,187.785430908203
120,220.1087,225.519424438477
121,221.1068,103.53687286377
122,222.1064,292.549530029297
123,223.1117,416.670745849609
124,224.1037,311.178588867188
125,226.1098,486.879150390625
126,227.1094,115.42552947998
127,228.1012,136.891983032227
128,230.0366,298.245300292969
129,230.1606,123.213569641113
130,232.0518,442.238250732422
131,234.1228,186.363922119141
132,236.1212,376.825866699219
133,238.1151,358.952362060547
134,240.1130,242.205444335938
135,241.1290,160.214477539063
136,242.1021,254.531967163086
137,244.0734,440.109954833984
138,246.1401,151.812805175781
139,247.1345,107.26197052002
140,248.1015,160.485794067383
141,250.1212,398.959625244141
142,252.1276,330.609375
143,254.1131,384.881134033203
144,255.1236,125.725616455078
145,256.1138,156.397079467773
146,258.1122,121.006790161133
147,259.1360,113.495140075684
148,260.0416,995.856079101563
149,261.0461,105.367652893066
150,261.1374,107.827438354492
151,262.1338,115.22794342041
152,264.1303,189.471984863281
153,266.1227,486.466186523438
154,267.1416,117.423828125
155,268.1269,314.407928466797
156,269.1309,233.081436157227
157,270.1248,189.699752807617
158,271.1173,125.898086547852
159,272.0747,562.769165039063
160,273.1197,117.421890258789
161,276.1404,125.926071166992
162,277.1431,192.204437255859
163,278.1325,246.156677246094
164,280.1271,251.789398193359
165,282.1270,331.751770019531
166,282.2542,130.365310668945
167,283.0994,180.550384521484
168,284.1214,194.252517700195
169,285.1396,112.252502441406
170,286.1304,198.193511962891
171,287.1547,151.884384155273
172,288.0368,1302.53002929688
173,289.0401,150.826309204102
174,289.1422,890.543884277344
175,290.1451,233.658554077148
176,291.1524,132.048141479492
177,292.1548,193.731781005859
178,294.1383,337.755828857422
179,296.1464,237.288925170898
180,298.1259,169.762619018555
181,300.1216,152.404144287109
182,302.1215,549.584899902344
183,303.1471,297.990814208984
184,304.1471,110.394874572754
185,305.1515,154.514022827148
186,306.1566,145.319366455078
187,307.1565,135.26091003418
188,308.1490,241.920776367188
189,310.1436,264.853515625
190,311.0955,136.792633056641
191,312.1390,273.759307861328
192,314.1366,140.694732666016
193,316.0332,211.200134277344
194,317.1736,229.322647094727
195,318.1693,103.047332763672
196,319.1650,118.066818237305
197,319.9761,166.040496826172
198,321.1538,128.857238769531
199,322.1485,177.591659545898
200,323.1709,184.797286987305
201,324.1668,239.656494140625
202,324.2853,103.578170776367
203,326.1451,182.596084594727
204,328.1421,231.373397827148
205,330.1523,132.872314453125
206,331.1767,191.101226806641
207,333.1697,201.515274047852
208,334.1736,127.390480041504
209,335.1822,384.318756103516
210,336.1780,166.660034179688
211,337.1824,112.276748657227
212,338.1556,138.847015380859
213,340.1532,253.306900024414
214,342.1507,129.204833984375
215,344.1466,142.05387878418
216,345.1840,123.501876831055
217,347.1805,244.665725708008
218,348.1791,106.565490722656
219,349.1906,215.115142822266
220,350.1811,149.680084228516
221,351.1852,180.683319091797
222,352.1704,162.075347900391
223,354.1587,146.403427124023
224,356.1395,160.120651245117
225,358.2101,1291.59094238281
226,359.2097,313.201873779297
227,360.1870,101.912002563477
228,361.1916,214.705154418945
229,363.1987,215.645401000977
230,364.1917,117.329452514648
231,365.1854,123.617401123047
232,366.1716,162.74250793457
233,367.1855,114.935440063477
234,368.1772,165.605758666992
235,370.1627,119.483306884766
236,375.2006,144.312362670898
237,377.1952,254.116607666016
238,379.1953,137.23095703125
239,380.1857,122.763252258301
240,381.2082,226.430679321289
241,382.1801,138.451446533203
242,384.1630,186.248626708984
243,386.1989,543.137268066406
244,387.2081,171.756149291992
245,388.6903,135.888763427734
246,389.2028,175.469604492188
247,390.2562,190.549209594727
248,391.2169,155.830078125
249,393.2111,126.448638916016
250,395.2149,122.34627532959
251,396.1805,102.979118347168
252,397.2063,113.100654602051
253,398.1897,132.591278076172
254,402.1743,139.003555297852
255,405.2114,114.593856811523
256,407.2125,124.657531738281
257,408.1977,114.688331604004
258,409.2219,288.478881835938
259,410.2110,114.076446533203
260,412.1929,121.701805114746
261,414.1838,115.336479187012
262,418.0601,156.482894897461
263,423.2204,113.71110534668
264,424.2079,117.811782836914
265,437.2187,143.926635742188
266,444.1015,166.233322143555
267,446.2019,118.391967773438
268,455.2436,152.794006347656
269,473.0490,106.636817932129
270,473.2363,321.508575439453
271,474.0557,241.615158081055
272,474.2319,113.127487182617
273,481.7234,113.50399017334
274,482.1889,109.046722412109
275,500.0862,200.144134521484
276,501.2303,545.20166015625
277,502.2326,174.926406860352
278,529.0376,155.104446411133
279,530.0444,391.754486083984
280,538.1226,115.028587341309
281,539.2349,135.856719970703
282,553.2310,151.726577758789
283,556.0795,171.964996337891
284,585.0237,114.271293640137
285,586.0335,285.845336914063
286,607.3019,168.583251953125
287,684.0539,101.602676391602
288,691.3277,141.513931274414
289,716.4252,475.856689453125
290,717.4263,188.52619934082
291,736.3038,111.183601379395
292,737.3279,101.474601745605
293,750.3000,115.706924438477
294,876.4153,265.795745849609
295,877.4177,137.000396728516
296,991.4407,371.502563476563
297,992.4458,241.587982177734
298,1106.4668,102.721855163574
299,1232.6109,459.581573486328
300,1233.6176,288.827789306641
301,1234.6114,136.064895629883
302,1319.6103,154.189880371094
303,1320.6072,137.233947753906
304,1347.6052,157.427871704102
305,1348.6021,144.993804931641
306,1400.6646,449.701965332031
307,1401.6671,327.199249267578
308,1402.6627,157.163757324219
309,1410.6517,138.306991577148
310,1411.6568,101.355491638184
311,1418.6779,1426.23571777344
312,1419.6819,1082.81567382813
313,1420.6830,478.903747558594
314,1421.6878,166.704666137695
315,1428.6623,587.553344726563
316,1429.6645,340.625946044922
317,1430.6667,179.164321899414
318,1446.6752,1475.11462402344
319,1447.6785,1145.93591308594
320,1448.6793,519.235229492188
321,1449.6810,148.919067382813
322,1463.6981,167.313400268555
323,1464.6881,147.872955322266
324,1804.8821,119.167823791504
325,1805.8935,118.088722229004
